time: 6.45.11 | liltdog2: yo 

time: 6.45.23 | sgsrocks: longtime huh

time: 6.45.25 | sgsrocks: xd 

time: 6.45.27 | liltdog2: yee forreal bruh 

time: 6.45.42 | liltdog2: 85 firemaking from chest 

time: 6.45.44 | sgsrocks: how smooth is it

time: 6.45.47 | liltdog2: now theive lol

time: 6.45.51 | sgsrocks: 7 gbs of ram 

time: 6.46.2 | liltdog2: ya it smooth

time: 6.46.11 | sgsrocks: oo

time: 6.46.12 | liltdog2: : : tele aint work

time: 6.46.13 | sgsrocks: remeber this

time: 6.46.19 | liltdog2: lol 

time: 6.46.24 | sgsrocks: or this 

time: 6.46.30 | sgsrocks: lol 

time: 6.46.36 | liltdog2: yeah naay is the classic

time: 6.47.2 | liltdog2: how we get pring on here 

time: 6.47.10 | sgsrocks: i need to do some things

time: 6.47.17 | sgsrocks: luckys are here bro 

time: 6.47.18 | sgsrocks: xd 

time: 6.47.20 | sgsrocks: lol 

time: 6.47.34 | sgsrocks: i forgot ids

time: 6.47.35 | sgsrocks: fuicl 

time: 6.47.36 | sgsrocks: ;p;

time: 6.47.37 | sgsrocks: lol 

time: 6.47.44 | liltdog2: lol 

time: 6.47.51 | liltdog2: shops look nice too

time: 6.47.56 | liltdog2: the classic ghreborn shops 

time: 6.48.6 | sgsrocks: its is classic reborn

time: 6.48.7 | sgsrocks: ;p;

time: 6.48.27 | liltdog2: that most iconic part of reborn for me is shops

time: 6.48.29 | liltdog2: at least one of

time: 6.48.36 | sgsrocks: its been up sence last nioght 

time: 6.48.42 | sgsrocks: lol 

time: 6.48.47 | sgsrocks: hasnt crashe 

time: 6.48.49 | sgsrocks: ;[

time: 6.48.51 | sgsrocks: ;p

time: 6.48.53 | sgsrocks: im happy

time: 6.48.59 | liltdog2: yeah good work dude 

time: 6.49.6 | liltdog2: nice to have it back again :) 

time: 6.49.12 | sgsrocks: be careful 

time: 6.49.16 | sgsrocks: npc attack back

time: 6.49.17 | sgsrocks: pl 

time: 6.49.21 | liltdog2: o shit

time: 6.49.21 | sgsrocks: dueto code cleanup 

time: 6.49.24 | sgsrocks: lol 

time: 6.49.36 | liltdog2: im steerin clear of that bastard

time: 6.49.40 | liltdog2: guard

time: 6.49.43 | sgsrocks: watch 

time: 6.49.49 | sgsrocks: o wait 

time: 6.49.52 | liltdog2: l0l

time: 6.50.2 | liltdog2: aint attack back if u 1 shot em lol 

time: 6.50.24 | sgsrocks: u want a santa 

time: 6.50.25 | sgsrocks: lol 

time: 6.50.33 | liltdog2: sure

time: 6.50.37 | sgsrocks: what color

time: 6.50.57 | liltdog2: u got all the og ones? 

time: 6.51.0 | sgsrocks: ;p

time: 6.51.25 | liltdog2: ayye

time: 6.51.26 | liltdog2: ty sir 

time: 6.51.31 | liltdog2: nice to see trade work too 

time: 6.51.38 | liltdog2: ah shit 

time: 6.51.45 | liltdog2: i gotta train def before i can wear santa lol 

time: 6.51.51 | sgsrocks: fuck 

time: 6.51.51 | sgsrocks: lol 

time: 6.51.53 | sgsrocks: one sec

time: 6.51.54 | liltdog2: ill do that soon tho im making some cash for gear 

time: 6.51.56 | sgsrocks: it has dragon

time: 6.52.8 | sgsrocks: trade me it again 

time: 6.52.9 | liltdog2: gonna buy stuff from shops

time: 6.52.16 | liltdog2: like that third age set for sure 

time: 6.52.26 | sgsrocks: pt the dragbon in

time: 6.52.30 | sgsrocks: here blue

time: 6.52.36 | liltdog2: ty bro

time: 6.52.47 | sgsrocks: remember my old bank 

time: 6.52.49 | sgsrocks: lol 

time: 6.53.1 | liltdog2: ye was stacked

time: 6.53.17 | sgsrocks: p

time: 6.53.22 | liltdog2: classic dude

time: 6.53.42 | sgsrocks: i want to see something

time: 6.53.43 | sgsrocks: follow me

time: 6.53.52 | sgsrocks: shit

time: 6.53.56 | sgsrocks: this way

time: 6.54.6 | sgsrocks: better 

time: 6.54.7 | sgsrocks: 525

time: 6.54.7 | sgsrocks: maps

time: 6.54.28 | sgsrocks: follo needs fixed

time: 6.54.29 | sgsrocks: lol 

time: 6.54.33 | liltdog2: ya haha

